Total Distance Travelled(miles),Total Fare Collected($ USD),Total Tips Collected ($ USD),Total MTA Taxes Collected ($ USD),Total Toll Amount Collected ($ USD)
18763690.54,119533325.01,14022335.65,3153200.39,2234255.8
18043804.15,117106614.56,13988531.34,3103945.17,2062174.57
9371766.69000001,56653621.94,6431079.3,1978762.69,914653.94
961140.98,3902853.49,363918.78,115836.5,52435.52
2903162.63,6853752.81,497422.8,170744.1,151779.63
2256327.86,10318220.42,969164.06,270091.65,201792.09
3445068.5,14912662.43,1432048.23,393896.6,253629.75
4408255.53,18705244.51,1846801.8,496143.12,303880.5
5741927.41,23628241.61,2584639.04,661942.22,311809.02
5913632.36,30364193.58,3326880.94,830227.72,361234.89
6249691.2,26334755.37,2987269.56,744250.72,323284.45
8874183.96,25726126.47,2866775.55,719937.95,318390.15
